Brand	CostPrice	CostPriceFrom	CostPriceInPoints	Description	Discount	Platform	PlatformProducts.0.Brand	PlatformProducts.0.Category	PlatformProducts.0.CostPrice	PlatformProducts.0.CostPriceFrom	PlatformProducts.0.CostPriceInPoints	PlatformProducts.0.Description	PlatformProducts.0.Discount	PlatformProducts.0.Platform	PlatformProducts.0.Sku	PlatformProducts.0.Url	PlatformProducts.0.Vendor	PlatformProducts.1.Brand	PlatformProducts.1.Category	PlatformProducts.1.CostPrice	PlatformProducts.1.CostPriceFrom	PlatformProducts.1.CostPriceInPoints	PlatformProducts.1.Description	PlatformProducts.1.Discount	PlatformProducts.1.Platform	PlatformProducts.1.Sku	PlatformProducts.1.Url	PlatformProducts.1.Vendor	PlatformProducts.10.Brand	PlatformProducts.10.Category	PlatformProducts.10.CostPrice	PlatformProducts.10.CostPriceFrom	PlatformProducts.10.CostPriceInPoints	PlatformProducts.10.Description	PlatformProducts.10.Discount	PlatformProducts.10.Platform	PlatformProducts.10.Sku	PlatformProducts.10.Url	PlatformProducts.10.Vendor	PlatformProducts.11.Brand	PlatformProducts.11.Category	PlatformProducts.11.CostPrice	PlatformProducts.11.CostPriceFrom	PlatformProducts.11.CostPriceInPoints	PlatformProducts.11.Description	PlatformProducts.11.Discount	PlatformProducts.11.Platform	PlatformProducts.11.Sku	PlatformProducts.11.Url	PlatformProducts.11.Vendor	PlatformProducts.12.Brand	PlatformProducts.12.Category	PlatformProducts.12.CostPrice	PlatformProducts.12.CostPriceFrom	PlatformProducts.12.CostPriceInPoints	PlatformProducts.12.Description	PlatformProducts.12.Discount	PlatformProducts.12.Platform	PlatformProducts.12.Sku	PlatformProducts.12.Url	PlatformProducts.12.Vendor	PlatformProducts.13.Brand	PlatformProducts.13.Category	PlatformProducts.13.CostPrice	PlatformProducts.13.CostPriceFrom	PlatformProducts.13.CostPriceInPoints	PlatformProducts.13.Description	PlatformProducts.13.Discount	PlatformProducts.13.Platform	PlatformProducts.13.Sku	PlatformProducts.13.Url	PlatformProducts.13.Vendor	PlatformProducts.14.Brand	PlatformProducts.14.Category	PlatformProducts.14.CostPrice	PlatformProducts.14.CostPriceFrom	PlatformProducts.14.CostPriceInPoints	PlatformProducts.14.Description	PlatformProducts.14.Discount	PlatformProducts.14.Platform	PlatformProducts.14.Sku	PlatformProducts.14.Url	PlatformProducts.14.Vendor	PlatformProducts.15.Brand	PlatformProducts.15.Category	PlatformProducts.15.CostPrice	PlatformProducts.15.CostPriceFrom	PlatformProducts.15.CostPriceInPoints	PlatformProducts.15.Description	PlatformProducts.15.Discount	PlatformProducts.15.Platform	PlatformProducts.15.Sku	PlatformProducts.15.Url	PlatformProducts.15.Vendor	PlatformProducts.16.Brand	PlatformProducts.16.Category	PlatformProducts.16.CostPrice	PlatformProducts.16.CostPriceFrom	PlatformProducts.16.CostPriceInPoints	PlatformProducts.16.Description	PlatformProducts.16.Discount	PlatformProducts.16.Platform	PlatformProducts.16.Sku	PlatformProducts.16.Url	PlatformProducts.16.Vendor	PlatformProducts.17.Brand	PlatformProducts.17.Category	PlatformProducts.17.CostPrice	PlatformProducts.17.CostPriceFrom	PlatformProducts.17.CostPriceInPoints	PlatformProducts.17.Description	PlatformProducts.17.Discount	PlatformProducts.17.Platform	PlatformProducts.17.Sku	PlatformProducts.17.Url	PlatformProducts.17.Vendor	PlatformProducts.18.Brand	PlatformProducts.18.Category	PlatformProducts.18.CostPrice	PlatformProducts.18.CostPriceFrom	PlatformProducts.18.CostPriceInPoints	PlatformProducts.18.Description	PlatformProducts.18.Discount	PlatformProducts.18.Platform	PlatformProducts.18.Sku	PlatformProducts.18.Url	PlatformProducts.18.Vendor	PlatformProducts.19.Brand	PlatformProducts.19.Category	PlatformProducts.19.CostPrice	PlatformProducts.19.CostPriceFrom	PlatformProducts.19.CostPriceInPoints	PlatformProducts.19.Description	PlatformProducts.19.Discount	PlatformProducts.19.Platform	PlatformProducts.19.Sku	PlatformProducts.19.Url	PlatformProducts.19.Vendor	PlatformProducts.2.Brand	PlatformProducts.2.Category	PlatformProducts.2.CostPrice	PlatformProducts.2.CostPriceFrom	PlatformProducts.2.CostPriceInPoints	PlatformProducts.2.Description	PlatformProducts.2.Discount	PlatformProducts.2.Platform	PlatformProducts.2.Sku	PlatformProducts.2.Url	PlatformProducts.2.Vendor	PlatformProducts.20.Brand	PlatformProducts.20.Category	PlatformProducts.20.CostPrice	PlatformProducts.20.CostPriceFrom	PlatformProducts.20.CostPriceInPoints	PlatformProducts.20.Description	PlatformProducts.20.Discount	PlatformProducts.20.Platform	PlatformProducts.20.Sku	PlatformProducts.20.Url	PlatformProducts.20.Vendor	PlatformProducts.21.Brand	PlatformProducts.21.Category	PlatformProducts.21.CostPrice	PlatformProducts.21.CostPriceFrom	PlatformProducts.21.CostPriceInPoints	PlatformProducts.21.Description	PlatformProducts.21.Discount	PlatformProducts.21.Platform	PlatformProducts.21.Sku	PlatformProducts.21.Url	PlatformProducts.21.Vendor	PlatformProducts.22.Brand	PlatformProducts.22.Category	PlatformProducts.22.CostPrice	PlatformProducts.22.CostPriceFrom	PlatformProducts.22.CostPriceInPoints	PlatformProducts.22.Description	PlatformProducts.22.Discount	PlatformProducts.22.Platform	PlatformProducts.22.Sku	PlatformProducts.22.Url	PlatformProducts.22.Vendor	PlatformProducts.23.Brand	PlatformProducts.23.Category	PlatformProducts.23.CostPrice	PlatformProducts.23.CostPriceFrom	PlatformProducts.23.CostPriceInPoints	PlatformProducts.23.Description	PlatformProducts.23.Discount	PlatformProducts.23.Platform	PlatformProducts.23.Sku	PlatformProducts.23.Url	PlatformProducts.23.Vendor	PlatformProducts.24.Brand	PlatformProducts.24.Category	PlatformProducts.24.CostPrice	PlatformProducts.24.CostPriceFrom	PlatformProducts.24.CostPriceInPoints	PlatformProducts.24.Description	PlatformProducts.24.Discount	PlatformProducts.24.Platform	PlatformProducts.24.Sku	PlatformProducts.24.Url	PlatformProducts.24.Vendor	PlatformProducts.25.Brand	PlatformProducts.25.Category	PlatformProducts.25.CostPrice	PlatformProducts.25.CostPriceFrom	PlatformProducts.25.CostPriceInPoints	PlatformProducts.25.Description	PlatformProducts.25.Discount	PlatformProducts.25.Platform	PlatformProducts.25.Sku	PlatformProducts.25.Url	PlatformProducts.25.Vendor	PlatformProducts.26.Brand	PlatformProducts.26.Category	PlatformProducts.26.CostPrice	PlatformProducts.26.CostPriceFrom	PlatformProducts.26.CostPriceInPoints	PlatformProducts.26.Description	PlatformProducts.26.Discount	PlatformProducts.26.Platform	PlatformProducts.26.Sku	PlatformProducts.26.Url	PlatformProducts.26.Vendor	PlatformProducts.27.Brand	PlatformProducts.27.Category	PlatformProducts.27.CostPrice	PlatformProducts.27.CostPriceFrom	PlatformProducts.27.CostPriceInPoints	PlatformProducts.27.Description	PlatformProducts.27.Discount	PlatformProducts.27.Platform	PlatformProducts.27.Sku	PlatformProducts.27.Url	PlatformProducts.27.Vendor	PlatformProducts.28.Brand	PlatformProducts.28.Category	PlatformProducts.28.CostPrice	PlatformProducts.28.CostPriceFrom	PlatformProducts.28.CostPriceInPoints	PlatformProducts.28.Description	PlatformProducts.28.Discount	PlatformProducts.28.Platform	PlatformProducts.28.Sku	PlatformProducts.28.Url	PlatformProducts.28.Vendor	PlatformProducts.29.Brand	PlatformProducts.29.Category	PlatformProducts.29.CostPrice	PlatformProducts.29.CostPriceFrom	PlatformProducts.29.CostPriceInPoints	PlatformProducts.29.Description	PlatformProducts.29.Discount	PlatformProducts.29.Platform	PlatformProducts.29.Sku	PlatformProducts.29.Url	PlatformProducts.29.Vendor	PlatformProducts.3.Brand	PlatformProducts.3.Category	PlatformProducts.3.CostPrice	PlatformProducts.3.CostPriceFrom	PlatformProducts.3.CostPriceInPoints	PlatformProducts.3.Description	PlatformProducts.3.Discount	PlatformProducts.3.Platform	PlatformProducts.3.Sku	PlatformProducts.3.Url	PlatformProducts.3.Vendor	PlatformProducts.4.Brand	PlatformProducts.4.Category	PlatformProducts.4.CostPrice	PlatformProducts.4.CostPriceFrom	PlatformProducts.4.CostPriceInPoints	PlatformProducts.4.Description	PlatformProducts.4.Discount	PlatformProducts.4.Platform	PlatformProducts.4.Sku	PlatformProducts.4.Url	PlatformProducts.4.Vendor	PlatformProducts.5.Brand	PlatformProducts.5.Category	PlatformProducts.5.CostPrice	PlatformProducts.5.CostPriceFrom	PlatformProducts.5.CostPriceInPoints	PlatformProducts.5.Description	PlatformProducts.5.Discount	PlatformProducts.5.Platform	PlatformProducts.5.Sku	PlatformProducts.5.Url	PlatformProducts.5.Vendor	PlatformProducts.6.Brand	PlatformProducts.6.Category	PlatformProducts.6.CostPrice	PlatformProducts.6.CostPriceFrom	PlatformProducts.6.CostPriceInPoints	PlatformProducts.6.Description	PlatformProducts.6.Discount	PlatformProducts.6.Platform	PlatformProducts.6.Sku	PlatformProducts.6.Url	PlatformProducts.6.Vendor	PlatformProducts.7.Brand	PlatformProducts.7.Category	PlatformProducts.7.CostPrice	PlatformProducts.7.CostPriceFrom	PlatformProducts.7.CostPriceInPoints	PlatformProducts.7.Description	PlatformProducts.7.Discount	PlatformProducts.7.Platform	PlatformProducts.7.Sku	PlatformProducts.7.Url	PlatformProducts.7.Vendor	PlatformProducts.8.Brand	PlatformProducts.8.Category	PlatformProducts.8.CostPrice	PlatformProducts.8.CostPriceFrom	PlatformProducts.8.CostPriceInPoints	PlatformProducts.8.Description	PlatformProducts.8.Discount	PlatformProducts.8.Platform	PlatformProducts.8.Sku	PlatformProducts.8.Url	PlatformProducts.8.Vendor	PlatformProducts.9.Brand	PlatformProducts.9.Category	PlatformProducts.9.CostPrice	PlatformProducts.9.CostPriceFrom	PlatformProducts.9.CostPriceInPoints	PlatformProducts.9.Description	PlatformProducts.9.Discount	PlatformProducts.9.Platform	PlatformProducts.9.Sku	PlatformProducts.9.Url	PlatformProducts.9.Vendor	Sku	Url	Vendor	_id
Champion	85.9	113.9	4521.05263157895	Relógio Unissex Analógico Champion Quadrado Troca Pulseiras  CP28220S - Com 5 Pulseiras	0.245829675153644	excel-import			10.593	12.855				Smiles	1762518_7	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=7&p=1762518_7&n=Rel%C3%B3gio+Unissex+Anal%C3%B3gico+Champion+Quadrado+Troca+Pulseiras++CP28220S+-+Com+5+Pulseiras	Casas Bahia			10.593	12.855				Smiles	1762518_4	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=4&p=1762518_4&n=Rel%C3%B3gio+Unissex+Anal%C3%B3gico+Champion+Quadrado+Troca+Pulseiras++CP28220S+-+Com+5+Pulseiras	Ponto Frio																																																																																																																	10.593	12.855				Smiles	1762518_3	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=3&p=1762518_3&n=Rel%C3%B3gio+Unissex+Anal%C3%B3gico+Champion+Quadrado+Troca+Pulseiras++CP28220S+-+Com+5+Pulseiras	Extra																																																																																																																	6.190	7.400					PF1762518	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Relógios/Unissex/Analógico/Relogio-Unissex-Analogico-Champion-Quadrado-Troca-Pulseiras--CP28220S---Com-5-Pulseiras/_/PF1762518?categoryId=PF1846	Ponto Frio			6.190	7.400					PF1762518	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Relógios/Unissex/Analógico/Relogio-Unissex-Analogico-Champion-Quadrado-Troca-Pulseiras--CP28220S---Com-5-Pulseiras/_/PF1762518?categoryId=PF1846	Ponto Frio			7.100	7.100	7.100			Livelo																																																4445811	https://www.santanderesfera.com.br/produto/relogio-unissex-analogico-champion-quadrado-troca-pulseiras-cp28220s-com-5-pulseiras/754465	Extra	5b1c3e931d6cf3034f5163a3
GA.MA Italy	86.9	105.68	4573.68421052632	Máquina de Cortar Cabelo GA.MA Italy Retrô Clipper Bivolt – Preto	0.177706283118849	excel-import			4.890	6.120					CB5402020	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Saúde-e-Beleza/Cuidados-Masculinos/Máquinas-de-Cortar-Cabelo/Maquina-de-Cortar-Cabelo-GA.MA-Italy-Retro-Clipper-Bivolt-–-Preto/_/CB5402020?categoryId=CB113	Casas Bahia			4.890	6.120					CB5402020	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Saúde-e-Beleza/Cuidados-Masculinos/Máquinas-de-Cortar-Cabelo/Maquina-de-Cortar-Cabelo-GA.MA-Italy-Retro-Clipper-Bivolt-–-Preto/_/CB5402020?categoryId=CB113	Casas Bahia																																																																																																																																																																																																																																																																																																																					8842345	https://www.santanderesfera.com.br/produto/maquina-de-cortar-cabelo-gama-italy-retro-clipper-bivolt-preto/725958	Ponto Frio	5b1c3e931d6cf3034f5163be
Victoria Geisse	87.31	109.14	4595.26315789474	VINHO ESPUMANTE VICTORIA GEISSE VINTAGE RESERVA 24 MESES	0.2	excel-import			3.500	3.500	3.500			Livelo						1.000	1.000	1.000			Livelo						2.000	2.000	2.000			Livelo						2.100	2.100	2.100			Livelo						4.800	4.800	4.800			Livelo						4.000	4.000	4.000			Livelo						3.800	3.800	3.800			Livelo						3.100	3.100	3.100			Livelo						3.000	3.000	3.000			Livelo						3.300	3.300	3.300			Livelo						3.300	3.300	3.300			Livelo						2.100	2.100	2.100			Livelo						2.000	2.000	2.000			Livelo						6.800	6.800	6.800			Livelo						3.500	3.500	3.500			Livelo						5.700	5.700	5.700			Livelo																																																																																			1.900	1.900	1.900			Livelo						2.600	2.600	2.600			Livelo						2.700	2.700	2.700			Livelo						3.100	3.100	3.100			Livelo						4.700	4.700	4.700			Livelo						2.900	2.900	2.900			Livelo						3.700	3.700	3.700			Livelo				GRE24705	https://www.santanderesfera.com.br/produto/vinho-espumante-victoria-geisse-vintage-reserva-24-meses/1157990	Brasil CT	5b1c3e931d6cf3034f5163d6
HARMAN JBL	94.9	118.8	4994.73684210526	Fone de Ouvido JBL C300 – Preto	0.201178451178451	excel-import			9.207	12.108				Smiles	8786480_7	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=7&p=8786480_7&n=Fone+de+Ouvido+JBL+C300+%E2%80%93+Preto	Casas Bahia			9.207	12.108				Smiles	8786480_3	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=3&p=8786480_3&n=Fone+de+Ouvido+JBL+C300+%E2%80%93+Preto	Extra			69.800	69.800	69.800			Livelo						5.400	5.400	5.400			Livelo						24.200	24.200	24.200			Livelo						13.700	13.700	13.700			Livelo						23.300	23.300	23.300			Livelo						14.500	14.500	14.500			Livelo						13.700	13.700	13.700			Livelo						63.700	63.700	63.700			Livelo						6.000	6.000	6.000			Livelo						11.500	11.500	11.500			Livelo						9.207	12.108				Smiles	8786480_4	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=4&p=8786480_4&n=Fone+de+Ouvido+JBL+C300+%E2%80%93+Preto	Ponto Frio			6.000	6.000	6.000			Livelo						24.200	24.200	24.200			Livelo						20.700	20.700	20.700			Livelo						9.100	9.100	9.100			Livelo						6.000	6.000	6.000			Livelo						7.900	7.900	7.900			Livelo						3.800	3.800	3.800			Livelo						7.400	7.400	7.400			Livelo						5.200	5.200	5.200			Livelo						6.900	6.900	6.900			Livelo						9.207	12.108				Smiles	2171113_8	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=8&p=2171113_8&n=Headphone%2FFone+de+Ouvido+JBL+C300+-+Preto				5.840	7.000					PF8786480	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Áudio/Fones-de-Ouvido/Fone-de-Ouvido-JBL-C300-–-Preto/_/PF8786480?categoryId=PF141	Ponto Frio			5.840	7.000					PF8786480	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Áudio/Fones-de-Ouvido/Fone-de-Ouvido-JBL-C300-–-Preto/_/PF8786480?categoryId=PF141	Ponto Frio			3.600	3.600	3.600			Livelo						43.200	43.200	43.200			Livelo						4.800	4.800	4.800			Livelo						7.300	7.300	7.300			Livelo				12355472	https://www.santanderesfera.com.br/produto/fone-de-ouvido-jbl-c300-preto/1154847	Ponto Frio	5b1c3e931d6cf3034f5163e9
Importado	95.9	142.87	5047.36842105263	Barraca de Camping Para 4 Pessoas Importada em Poliéster - Laranja/Cinza	0.328760411562959	excel-import			6.490	8.380					CB4411917	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Esporte-Lazer/Camping-Aventura/Barracas/Barraca-de-Camping-Para-4-Pessoas-Importada-em-Poliester---LaranjaCinza/_/CB4411917?categoryId=CB436	Casas Bahia			6.490	8.380					CB4411917	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Esporte-Lazer/Camping-Aventura/Barracas/Barraca-de-Camping-Para-4-Pessoas-Importada-em-Poliester---LaranjaCinza/_/CB4411917?categoryId=CB436	Casas Bahia																																																																																																																	27.600	27.600	27.600			Livelo																																																																																																																																																																																															7809540	https://www.santanderesfera.com.br/produto/barraca-de-camping-para-4-pessoas-importada-em-poliester-laranja-cinza/1046158	Ponto Frio	5b1c3e931d6cf3034f5163f3
GA.MA Italy	95.9	116.04	5047.36842105263	Escova Alisadora GA.MA Italy Innova Mini 220ºC - Bivolt	0.17356084108928	excel-import			5.900	6.780					PF7943473	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Alisadora-GA.MA-Italy-Innova-Mini-220ºC---Bivolt/_/PF7943473?categoryId=PF104	Ponto Frio			5.900	6.780					PF7943473	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Alisadora-GA.MA-Italy-Innova-Mini-220ºC---Bivolt/_/PF7943473?categoryId=PF104	Ponto Frio			5.900	6.780					PF7943473	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Alisadora-GA.MA-Italy-Innova-Mini-220ºC---Bivolt/_/PF7943473?categoryId=PF104	Ponto Frio			5.900	6.780					PF7943473	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Alisadora-GA.MA-Italy-Innova-Mini-220ºC---Bivolt/_/PF7943473?categoryId=PF104	Ponto Frio			4.500	4.500	4.500			Livelo																																																																																			5.900	6.780					PF7943473	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Alisadora-GA.MA-Italy-Innova-Mini-220ºC---Bivolt/_/PF7943473?categoryId=PF104	Ponto Frio																																																																																																																	5.900	6.780					PF7943473	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Alisadora-GA.MA-Italy-Innova-Mini-220ºC---Bivolt/_/PF7943473?categoryId=PF104	Ponto Frio			5.900	6.780					PF7943473	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Alisadora-GA.MA-Italy-Innova-Mini-220ºC---Bivolt/_/PF7943473?categoryId=PF104	Ponto Frio			5.900	6.780					PF7943473	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Alisadora-GA.MA-Italy-Innova-Mini-220ºC---Bivolt/_/PF7943473?categoryId=PF104	Ponto Frio			5.900	6.780					PF7943473	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Alisadora-GA.MA-Italy-Innova-Mini-220ºC---Bivolt/_/PF7943473?categoryId=PF104	Ponto Frio			5.900	6.780					PF7943473	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Alisadora-GA.MA-Italy-Innova-Mini-220ºC---Bivolt/_/PF7943473?categoryId=PF104	Ponto Frio			5.900	6.780					PF7943473	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Alisadora-GA.MA-Italy-Innova-Mini-220ºC---Bivolt/_/PF7943473?categoryId=PF104	Ponto Frio			5.900	6.780					PF7943473	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Modeladores-e-Escovas-Rotativas/Escova-Alisadora-GA.MA-Italy-Innova-Mini-220ºC---Bivolt/_/PF7943473?categoryId=PF104	Ponto Frio	11471437	https://www.santanderesfera.com.br/produto/escova-alisadora-gama-italy-innova-mini-220c-bivolt/726132	Ponto Frio	5b1c3e931d6cf3034f516401
GA.MA Italy	99.9	136.37	5257.89473684211	Barbeador Elétrico GA.MA Italy 3 Lâminas GSH860 Bivolt – Preto	0.267434186404634	excel-import			6.100	6.100	6.100			Livelo																																																																																																																																																																																																																																																																																																																																			11235750	https://www.santanderesfera.com.br/produto/barbeador-eletrico-gama-italy-3-laminas-gsh860-bivolt-preto/726652	Casas Bahia	5b1c3e941d6cf3034f516415
Mondial	104.9	172.77	5521.05263157895	Churrasqueira Elétrica Mondial Weekend II CH-02 c/ Controle de Temperatura e Suporte c/ Prateleira	0.392834404121086	excel-import			6.540	9.080					CB257243	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Utilidades-Domésticas/Churrasqueiras-e-Acessórios/Churrasqueiras/Churrasqueira-Eletrica-Mondial-Weekend-II-CH-02-c-Controle-de-Temperatura-e-Suporte-c-Prateleira/_/CB257243?categoryId=CB454	Casas Bahia			6.540	9.080					CB257243	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Utilidades-Domésticas/Churrasqueiras-e-Acessórios/Churrasqueiras/Churrasqueira-Eletrica-Mondial-Weekend-II-CH-02-c-Controle-de-Temperatura-e-Suporte-c-Prateleira/_/CB257243?categoryId=CB454	Casas Bahia																																																																																																																	7.500	7.500	7.500			Livelo																																																																																																																																																																																															410940	https://www.santanderesfera.com.br/produto/churrasqueira-eletrica-mondial-weekend-ii-ch-02-c-controle-de-temperatura-e-suporte-c-prateleira/707572	Extra	5b1c3e941d6cf3034f516421
Mondial	105.9	146.17	5573.68421052632	Conjunto Mondial Super Bonita com Prancha + Escova Modeladora + Secador – Bivolt	0.275501128822604	excel-import			8.826	14.562				Smiles	1488996_3	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=3&p=1488996_3&n=Conjunto+Mondial+Super+Bonita+com+Prancha+%2B+Escova+Modeladora+%2B+Secador+%E2%80%93+Bivolt	Extra			8.826	14.562				Smiles	1488996_4	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=4&p=1488996_4&n=Conjunto+Mondial+Super+Bonita+com+Prancha+%2B+Escova+Modeladora+%2B+Secador+%E2%80%93+Bivolt	Ponto Frio																																																																																																																	8.826	14.562				Smiles	1488996_7	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=7&p=1488996_7&n=Conjunto+Mondial+Super+Bonita+com+Prancha+%2B+Escova+Modeladora+%2B+Secador+%E2%80%93+Bivolt	Casas Bahia																																																																																																																	5.600	8.450					PF1488996	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Chapinhas-e-Pranchas-de-Cabelo/Conjunto-Mondial-Super-Bonita-com-Prancha---Escova-Modeladora---Secador-–-Bivolt/_/PF1488996?categoryId=PF103	Ponto Frio			5.600	8.450					PF1488996	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Chapinhas-e-Pranchas-de-Cabelo/Conjunto-Mondial-Super-Bonita-com-Prancha---Escova-Modeladora---Secador-–-Bivolt/_/PF1488996?categoryId=PF103	Ponto Frio			5.900	5.900	5.900			Livelo						5.900	5.900	5.900			Livelo																																					3987445	https://www.santanderesfera.com.br/produto/conjunto-mondial-super-bonita-com-prancha-escova-modeladora-secador-bivolt/1131922	Ponto Frio	5b1c3e941d6cf3034f51642e
Leyda Single	109.48	136.85	5762.1052631579	VINHO TINTO LEYDA SINGLE VINEYARD LAS BRISAS PINOT NOIR 2015	0.2	excel-import			3.500	3.500	3.500			Livelo						1.000	1.000	1.000			Livelo						2.000	2.000	2.000			Livelo						2.100	2.100	2.100			Livelo						4.800	4.800	4.800			Livelo						4.000	4.000	4.000			Livelo						3.800	3.800	3.800			Livelo						3.100	3.100	3.100			Livelo						3.000	3.000	3.000			Livelo						3.300	3.300	3.300			Livelo						3.300	3.300	3.300			Livelo						2.100	2.100	2.100			Livelo						2.000	2.000	2.000			Livelo						6.800	6.800	6.800			Livelo						3.500	3.500	3.500			Livelo						5.700	5.700	5.700			Livelo																																																																																			1.900	1.900	1.900			Livelo						2.600	2.600	2.600			Livelo						2.700	2.700	2.700			Livelo						3.100	3.100	3.100			Livelo						4.700	4.700	4.700			Livelo						2.900	2.900	2.900			Livelo						3.700	3.700	3.700			Livelo				GRE24716	https://www.santanderesfera.com.br/produto/vinho-tinto-leyda-single-vineyard-las-brisas-pinot-noir-2015/1158001	Brasil CT	5b1c3e941d6cf3034f51643b
Mondial	109.9	142.87	5784.21052631579	Kit Mondial Beauty Infinity Secador de Cabelos Infinity Íon 2500 Preto/Vermelho + Chapinha | Prancha Infinity Tourmaline Íon Plus Preto/Vermelho	0.230769230769231	excel-import			5.600	8.900					PF1224389	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Secadores-de-Cabelo/Kit-Mondial-Beauty-Infinity-Secador-de-Cabelos-Infinity-Ion-2500-PretoVermelho--Chapinha-|-Prancha-Infinity-Tourmaline-Ion-Plus-PretoVermelho/_/PF1224389?categoryId=PF2338	Ponto Frio			5.600	8.900					PF1224389	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Secadores-de-Cabelo/Kit-Mondial-Beauty-Infinity-Secador-de-Cabelos-Infinity-Ion-2500-PretoVermelho--Chapinha-|-Prancha-Infinity-Tourmaline-Ion-Plus-PretoVermelho/_/PF1224389?categoryId=PF2338	Ponto Frio																																																																																																																	5.900	5.900	5.900			Livelo																																																																																																																				5.900	5.900	5.900			Livelo																																																																						3578147	https://www.santanderesfera.com.br/produto/kit-mondial-beauty-infinity-secador-de-cabelos-infinity-on-2500-preto-vermelho-chapinha-prancha-infinity-tourmaline-on-plus-preto-vermelho/754242	Extra	5b1c3e941d6cf3034f51644f
Casio	114.9	139.9	6047.36842105263	Relógio Masculino Analógico Casio HDD-600G-9AVDF - Preto	0.178699070764832	excel-import			7.060	10.100					CB1111721	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Relógios/Masculinos/Digital/Relogio-Masculino-Analogico-Casio-HDD-600G-9AVDF---Preto/_/CB1111721?categoryId=CB1820	Casas Bahia			7.060	10.100					CB1111721	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Relógios/Masculinos/Digital/Relogio-Masculino-Analogico-Casio-HDD-600G-9AVDF---Preto/_/CB1111721?categoryId=CB1820	Casas Bahia																																																																																																																	7.400	7.400	7.400			Livelo																																																																																																																				7.400	7.400	7.400			Livelo						7.400	7.400	7.400			Livelo																																																											3393607	https://www.santanderesfera.com.br/produto/relogio-masculino-analogico-casio-hdd-600g-9avdf-preto/1061848	Ponto Frio	5b1c3e941d6cf3034f51645c
